epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,16241.7,0.8233,0.37326,0.81129,0.83297,0.71608,0.74367,0.5911,0.7253,0.74473,0.7895,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,16435.3,0.80232,0.36665,0.80896,0.8332,0.71608,0.74381,0.5918,0.72289,0.74362,0.78934,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16629.2,0.80362,0.36546,0.80742,0.83381,0.71568,0.74392,0.59266,0.72067,0.74262,0.78914,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16822.7,0.80483,0.3645,0.80758,0.83421,0.71548,0.74408,0.5933,0.71858,0.74142,0.78897,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,17016.1,0.79359,0.36,0.80866,0.83394,0.71618,0.74422,0.59392,0.71623,0.74071,0.7888,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17210.3,0.7784,0.35442,0.80527,0.8346,0.7156,0.74432,0.5942,0.71403,0.73973,0.78865,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,17404.6,0.77145,0.35153,0.80552,0.83477,0.71606,0.74448,0.59545,0.71205,0.73911,0.78848,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17599.5,0.77447,0.35282,0.8061,0.83527,0.71577,0.74454,0.59587,0.71038,0.73862,0.78832,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17801.9,0.6974,0.3226,0.79688,0.83569,0.71568,0.74469,0.59671,0.70793,0.73786,0.78815,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17992.9,0.68134,0.31733,0.79491,0.83585,0.71599,0.74487,0.59709,0.70517,0.73731,0.78798,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18183.2,0.67005,0.31081,0.79347,0.83616,0.7161,0.7451,0.59797,0.70204,0.73662,0.78773,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18373.8,0.65879,0.30671,0.79295,0.83613,0.71628,0.74527,0.59916,0.69887,0.73623,0.7875,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18565.5,0.64472,0.30188,0.79025,0.83668,0.71592,0.74546,0.59991,0.69552,0.73573,0.78723,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18756.4,0.63299,0.29529,0.79085,0.83684,0.71614,0.74564,0.60069,0.69221,0.73514,0.78695,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18946.8,0.6248,0.29158,0.7914,0.83735,0.71589,0.7458,0.60251,0.6889,0.73439,0.78667,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19137.7,0.6218,0.2901,0.78904,0.83717,0.71632,0.74602,0.60328,0.6856,0.73359,0.78639,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19327.8,0.6006,0.28109,0.78625,0.83797,0.7162,0.74621,0.60446,0.68271,0.73258,0.78606,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19519.5,0.59763,0.28082,0.78753,0.83828,0.7164,0.74413,0.60523,0.68004,0.7315,0.78584,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
